------ Experiment.reset ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  55
count embeddings (bellman):  109
total diff. algorithms (bellman):  35
accuracy perfect hardware (bellman): 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0

min. accuracy (bellman): 0.50195
avg. accuracy (bellman): 0.94003
max. accuracy (bellman): 1.0

min. pomdp build time (bellman): 0.00045
avg. pomdp build time (bellman): 0.00274
max. pomdp build time (bellman): 0.99509

min. method time (bellman): 0.0
avg. method time (bellman): 15.06199
max. method time (bellman): 100.0

min. total time (bellman): 0.00045
avg. total time (bellman): 15.06359
max. total time (bellman): 100.00518

min. total time (bellman): 0.00045
avg. total time (bellman): 15.06359
max. total time (bellman): 100.00518

num. algorithms per horizon (method=bellman)
2 :  3
3 :  4
4 :  3
5 :  4
6 :  4
7 :  4
8 :  7
9 :  6
--


number of improvements per horizon:
--> horizon 2: 3 
--> horizon 3: 3 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 
--> horizon 7: 108 
--> horizon 8: 108 
--> horizon 9: 108 
--- ALGORITHMS ---
perfect hardware algorithm:  [(2, 16), (3, 17), (4, 18), (5, 19), (6, 20), (7, 21), (8, 143), (9, 144)]
Algorithm 144
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 143
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 21
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 20
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 19
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 18
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 17
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 16
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 13
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 1
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 0
	 max: 1.0
	 avg: 0.905533119266055
	 std: 0.13754884533554998
Algorithm 2
	 max: 1.0
	 avg: 0.9385611926605505
	 std: 0.13128591597282493
Algorithm 14
	 max: 1.0
	 avg: 0.9390264220183482
	 std: 0.13114468068259105
Algorithm 3
	 max: 1.0
	 avg: 0.9390264220183482
	 std: 0.13114468068259105
Algorithm 4
	 max: 1.0
	 avg: 0.9475217431192652
	 std: 0.12710618458190948
Algorithm 6
	 max: 1.0
	 avg: 0.9487556880733942
	 std: 0.1265317940235881
Algorithm 15
	 max: 1.0
	 avg: 0.9493564220183485
	 std: 0.12639388069402063
Algorithm 5
	 max: 1.0
	 avg: 0.9493564220183485
	 std: 0.12639388069402063
Algorithm 149
	 max: 1.0
	 avg: 0.9518101834862387
	 std: 0.1248340570219466
Algorithm 138
	 max: 1.0
	 avg: 0.9530057798165137
	 std: 0.12411262036504184
Algorithm 146
	 max: 1.0
	 avg: 0.9534105504587154
	 std: 0.12385473894427071
Algorithm 142
	 max: 1.0
	 avg: 0.9539766055045868
	 std: 0.12349658699152741
Algorithm 145
	 max: 1.0
	 avg: 0.9543575229357792
	 std: 0.12337441462321981
Algorithm 140
	 max: 1.0
	 avg: 0.9538911009174312
	 std: 0.12335657197988524
Algorithm 150
	 max: 1.0
	 avg: 0.9545429357798163
	 std: 0.1232645188451089
Algorithm 139
	 max: 1.0
	 avg: 0.9545429357798163
	 std: 0.1232645188451089
Algorithm 141
	 max: 1.0
	 avg: 0.9545566972477064
	 std: 0.12325235834311234
Algorithm 148
	 max: 0.63878
	 avg: 0.045443302752293566
	 std: 0.12325235834311234
Algorithm 147
	 max: 0.63776
	 avg: 0.04610889908256883
	 std: 0.12335657197988524
Algorithm 12
	 max: 0.61959
	 avg: 0.05064357798165138
	 std: 0.12639388069402063
Algorithm 11
	 max: 0.61874
	 avg: 0.05124431192660552
	 std: 0.1265317940235881
Algorithm 10
	 max: 0.5961
	 avg: 0.06097357798165135
	 std: 0.13114468068259105
Algorithm 9
	 max: 0.59553
	 avg: 0.06143880733944952
	 std: 0.13128591597282493
Algorithm 8
	 max: 0.56405
	 avg: 0.09446688073394492
	 std: 0.13754884533554998
Algorithm 7
	 max: 0.56405
	 avg: 0.09446688073394492
	 std: 0.13754884533554998


Improvements with respect to perfect algorithms per horizon
Horizon = 2
-> Algorithm: 7
--> Max: (0.12810000000000005, ('torino', 1))
--> Avg: -0.8110662385321102
--> Std: 0.27509769067109996
-> Algorithm: 0
--> Max: (0.0, ('algiers', 0))
--> Avg: 0.0
--> Std: 0.0

Horizon = 3
-> Algorithm: 8
--> Max: (0.12810000000000005, ('torino', 1))
--> Avg: -0.8110662385321102
--> Std: 0.27509769067109996
-> Algorithm: 1
--> Max: (0.0, ('algiers', 0))
--> Avg: 0.0
--> Std: 0.0
-> Algorithm: 13
--> Max: (0.0, ('algiers', 0))
--> Avg: 0.0
--> Std: 0.0

Horizon = 4
-> Algorithm: 9
--> Max: (0.15958, ('torino', 1))
--> Avg: -0.8440943119266056
--> Std: 0.26721829692554866
-> Algorithm: 2
--> Max: (0.09619, ('paris', 0))
--> Avg: 0.03302807339449541
--> Std: 0.030095430884815588

Horizon = 5
-> Algorithm: 10
--> Max: (0.16014999999999996, ('torino', 1))
--> Avg: -0.8445595412844039
--> Std: 0.2670230232561636
-> Algorithm: 3
--> Max: (0.10156999999999994, ('brisbane', 0))
--> Avg: 0.03349330275229357
--> Std: 0.03059296161050671
-> Algorithm: 14
--> Max: (0.10156999999999994, ('brisbane', 0))
--> Avg: 0.03349330275229357
--> Std: 0.03059296161050671

Horizon = 6
-> Algorithm: 11
--> Max: (0.18278999999999995, ('torino', 1))
--> Avg: -0.8542888073394492
--> Std: 0.2604898916028568
-> Algorithm: 6
--> Max: (0.14549, ('almaden', 1))
--> Avg: 0.04322256880733944
--> Std: 0.044776956983179
