------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  9
accuracy perfect hardware (bellman): 0.6, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  3
3 :  5
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 7 
--> horizon 3: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 3
hardware=lagos-0, diff=0.11292, prob=0.5967, baseline_prob=0.48378, algorithm=13, method=bellman, horizon=3,
hardware=lagos-2, diff=0.11135, prob=0.58841, baseline_prob=0.47706, algorithm=13, method=bellman, horizon=3,
hardware=manhattan-0, diff=0.09581, prob=0.64124, baseline_prob=0.54543, algorithm=4, method=bellman, horizon=3,
hardware=rochester-1, diff=0.09497, prob=0.63737, baseline_prob=0.5424, algorithm=4, method=bellman, horizon=3,
hardware=cambridge-1, diff=0.09427, prob=0.65147, baseline_prob=0.5572, algorithm=4, method=bellman, horizon=3,
hardware=washington-0, diff=0.08713, prob=0.7184, baseline_prob=0.63127, algorithm=4, method=bellman, horizon=3,
hardware=toronto-0, diff=0.07935, prob=0.76241, baseline_prob=0.68306, algorithm=4, method=bellman, horizon=3,
hardware=toronto-2, diff=0.07286, prob=0.70004, baseline_prob=0.62718, algorithm=4, method=bellman, horizon=3,
hardware=almaden-1, diff=0.0696, prob=0.80243, baseline_prob=0.73283, algorithm=4, method=bellman, horizon=3,
hardware=almaden-3, diff=0.06662, prob=0.76808, baseline_prob=0.70146, algorithm=4, method=bellman, horizon=3,
hardware=paris-0, diff=0.06627, prob=0.81804, baseline_prob=0.75177, algorithm=4, method=bellman, horizon=3,
hardware=paris-2, diff=0.06372, prob=0.78645, baseline_prob=0.72273, algorithm=4, method=bellman, horizon=3,
hardware=boeblingen-1, diff=0.06198, prob=0.83501, baseline_prob=0.77303, algorithm=4, method=bellman, horizon=3,
hardware=boeblingen-3, diff=0.06108, prob=0.82293, baseline_prob=0.76185, algorithm=4, method=bellman, horizon=3,
hardware=melbourne-1, diff=0.06012, prob=0.83547, baseline_prob=0.77535, algorithm=4, method=bellman, horizon=3,
hardware=melbourne-3, diff=0.05846, prob=0.81248, baseline_prob=0.75402, algorithm=4, method=bellman, horizon=3,
hardware=manhattan-2, diff=0.05686, prob=0.31267, baseline_prob=0.25581, algorithm=10, method=bellman, horizon=3,
hardware=rochester-3, diff=0.05684, prob=0.31323, baseline_prob=0.25639, algorithm=10, method=bellman, horizon=3,
hardware=poughkeepsie-0, diff=0.05676, prob=0.84865, baseline_prob=0.79189, algorithm=4, method=bellman, horizon=3,
hardware=johannesburg-1, diff=0.05664, prob=0.8482, baseline_prob=0.79156, algorithm=4, method=bellman, horizon=3,
hardware=cambridge-3, diff=0.05661, prob=0.31907, baseline_prob=0.26246, algorithm=10, method=bellman, horizon=3,
hardware=johannesburg-3, diff=0.0549, prob=0.8223, baseline_prob=0.7674, algorithm=4, method=bellman, horizon=3,
hardware=washington-2, diff=0.05435, prob=0.34997, baseline_prob=0.29562, algorithm=10, method=bellman, horizon=3,
hardware=london-1, diff=0.05434, prob=0.85046, baseline_prob=0.79612, algorithm=4, method=bellman, horizon=3,
hardware=cairo-1, diff=0.05063, prob=0.87367, baseline_prob=0.82304, algorithm=4, method=bellman, horizon=3,
hardware=geneva-0, diff=0.04844, prob=0.88074, baseline_prob=0.8323, algorithm=4, method=bellman, horizon=3,
hardware=sydney-1, diff=0.0416, prob=0.89912, baseline_prob=0.85752, algorithm=4, method=bellman, horizon=3,
hardware=quito-0, diff=0.03915, prob=0.90061, baseline_prob=0.86146, algorithm=4, method=bellman, horizon=3,
hardware=quito-1, diff=0.03801, prob=0.87445, baseline_prob=0.83644, algorithm=4, method=bellman, horizon=3,
hardware=hanoi-3, diff=0.03773, prob=0.45785, baseline_prob=0.42012, algorithm=5, method=bellman, horizon=3,
hardware=sydney-3, diff=0.03752, prob=0.81098, baseline_prob=0.77346, algorithm=4, method=bellman, horizon=3,
hardware=algiers-3, diff=0.03637, prob=0.4723, baseline_prob=0.43593, algorithm=5, method=bellman, horizon=3,
hardware=mumbai-1, diff=0.03627, prob=0.91414, baseline_prob=0.87787, algorithm=4, method=bellman, horizon=3,
hardware=mumbai-3, diff=0.03555, prob=0.89608, baseline_prob=0.86053, algorithm=4, method=bellman, horizon=3,
hardware=montreal-1, diff=0.03481, prob=0.91734, baseline_prob=0.88253, algorithm=4, method=bellman, horizon=3,
hardware=manila-0, diff=0.03471, prob=0.91752, baseline_prob=0.88281, algorithm=4, method=bellman, horizon=3,
hardware=cambridge-2, diff=0.03433, prob=0.4915, baseline_prob=0.45717, algorithm=5, method=bellman, horizon=3,
hardware=montreal-3, diff=0.03429, prob=0.90366, baseline_prob=0.86937, algorithm=4, method=bellman, horizon=3,
hardware=geneva-2, diff=0.03414, prob=0.4931, baseline_prob=0.45896, algorithm=5, method=bellman, horizon=3,
hardware=rochester-2, diff=0.03392, prob=0.495, baseline_prob=0.46108, algorithm=5, method=bellman, horizon=3,
hardware=manhattan-3, diff=0.03371, prob=0.49685, baseline_prob=0.46314, algorithm=5, method=bellman, horizon=3,
hardware=hanoi-2, diff=0.03366, prob=0.49725, baseline_prob=0.46359, algorithm=5, method=bellman, horizon=3,
hardware=algiers-2, diff=0.03362, prob=0.4976, baseline_prob=0.46398, algorithm=5, method=bellman, horizon=3,
hardware=washington-3, diff=0.0335, prob=0.4986, baseline_prob=0.4651, algorithm=5, method=bellman, horizon=3,
hardware=singapore-0, diff=0.03193, prob=0.92329, baseline_prob=0.89136, algorithm=4, method=bellman, horizon=3,
hardware=brooklyn-1, diff=0.03157, prob=0.9251, baseline_prob=0.89353, algorithm=4, method=bellman, horizon=3,
hardware=singapore-2, diff=0.03151, prob=0.91079, baseline_prob=0.87928, algorithm=4, method=bellman, horizon=3,
hardware=hanoi-1, diff=0.0308, prob=0.92879, baseline_prob=0.89799, algorithm=4, method=bellman, horizon=3,
hardware=brooklyn-3, diff=0.03061, prob=0.89706, baseline_prob=0.86645, algorithm=4, method=bellman, horizon=3,
hardware=vigo-0, diff=0.02766, prob=0.93467, baseline_prob=0.90701, algorithm=4, method=bellman, horizon=3,
hardware=guadalupe-0, diff=0.02263, prob=0.94658, baseline_prob=0.92395, algorithm=4, method=bellman, horizon=3,
hardware=guadalupe-2, diff=0.02244, prob=0.93826, baseline_prob=0.91582, algorithm=4, method=bellman, horizon=3,
hardware=nairobi-0, diff=0.02175, prob=0.94861, baseline_prob=0.92686, algorithm=4, method=bellman, horizon=3,
hardware=nairobi-2, diff=0.02167, prob=0.94494, baseline_prob=0.92327, algorithm=4, method=bellman, horizon=3,
hardware=lima-0, diff=0.02159, prob=0.94955, baseline_prob=0.92796, algorithm=4, method=bellman, horizon=3,
hardware=bogota-0, diff=0.02124, prob=0.94861, baseline_prob=0.92737, algorithm=4, method=bellman, horizon=3,
hardware=essex-0, diff=0.02092, prob=0.94767, baseline_prob=0.92675, algorithm=4, method=bellman, horizon=3,
hardware=algiers-1, diff=0.02087, prob=0.95219, baseline_prob=0.93132, algorithm=4, method=bellman, horizon=3,
hardware=essex-2, diff=0.02068, prob=0.93678, baseline_prob=0.9161, algorithm=4, method=bellman, horizon=3,
hardware=ourense-0, diff=0.02057, prob=0.95219, baseline_prob=0.93162, algorithm=4, method=bellman, horizon=3,
hardware=ourense-2, diff=0.02052, prob=0.94975, baseline_prob=0.92923, algorithm=4, method=bellman, horizon=3,
hardware=valencia-0, diff=0.0204, prob=0.95138, baseline_prob=0.93098, algorithm=4, method=bellman, horizon=3,
hardware=kolkata-0, diff=0.01761, prob=0.95932, baseline_prob=0.94171, algorithm=4, method=bellman, horizon=3,
hardware=perth-0, diff=0.01644, prob=0.96205, baseline_prob=0.94561, algorithm=4, method=bellman, horizon=3,
hardware=belem-0, diff=0.01576, prob=0.95965, baseline_prob=0.94389, algorithm=4, method=bellman, horizon=3,
hardware=casablanca-0, diff=0.01255, prob=0.96885, baseline_prob=0.9563, algorithm=4, method=bellman, horizon=3,
hardware=casablanca-1, diff=0.01246, prob=0.96181, baseline_prob=0.94935, algorithm=4, method=bellman, horizon=3,
hardware=essex-1, diff=0.01168, prob=0.95691, baseline_prob=0.94523, algorithm=4, method=bellman, horizon=3,
hardware=rome-1, diff=0.01158, prob=0.96429, baseline_prob=0.95271, algorithm=4, method=bellman, horizon=3,
hardware=oslo-1, diff=0.01136, prob=0.97197, baseline_prob=0.96061, algorithm=4, method=bellman, horizon=3,
hardware=yorktown-0, diff=0.01049, prob=0.95198, baseline_prob=0.94149, algorithm=4, method=bellman, horizon=3,
hardware=melbourne-0, diff=0.01022, prob=0.96905, baseline_prob=0.95883, algorithm=4, method=bellman, horizon=3,
hardware=bogota-1, diff=0.01002, prob=0.92894, baseline_prob=0.91892, algorithm=4, method=bellman, horizon=3,
hardware=melbourne-2, diff=0.00994, prob=0.94238, baseline_prob=0.93244, algorithm=4, method=bellman, horizon=3,
hardware=burlington-0, diff=0.0094, prob=0.96397, baseline_prob=0.95457, algorithm=4, method=bellman, horizon=3,
hardware=valencia-1, diff=0.00906, prob=0.97269, baseline_prob=0.96363, algorithm=4, method=bellman, horizon=3,
hardware=rome-0, diff=0.00834, prob=0.97845, baseline_prob=0.97011, algorithm=4, method=bellman, horizon=3,
hardware=poughkeepsie-1, diff=0.00816, prob=0.97511, baseline_prob=0.96695, algorithm=4, method=bellman, horizon=3,
hardware=belem-1, diff=0.00801, prob=0.97642, baseline_prob=0.96841, algorithm=4, method=bellman, horizon=3,
hardware=belem-2, diff=0.00798, prob=0.97258, baseline_prob=0.9646, algorithm=4, method=bellman, horizon=3,
hardware=poughkeepsie-2, diff=0.0078, prob=0.93173, baseline_prob=0.92393, algorithm=4, method=bellman, horizon=3,
hardware=perth-1, diff=0.00762, prob=0.98116, baseline_prob=0.97354, algorithm=4, method=bellman, horizon=3,
hardware=perth-2, diff=0.00756, prob=0.97319, baseline_prob=0.96563, algorithm=4, method=bellman, horizon=3,
hardware=auckland-1, diff=0.00751, prob=0.98118, baseline_prob=0.97367, algorithm=4, method=bellman, horizon=3,
hardware=nairobi-1, diff=0.00715, prob=0.98083, baseline_prob=0.97368, algorithm=4, method=bellman, horizon=3,
hardware=nairobi-3, diff=0.00712, prob=0.97703, baseline_prob=0.96991, algorithm=4, method=bellman, horizon=3,
hardware=santiago-0, diff=0.00705, prob=0.98212, baseline_prob=0.97507, algorithm=4, method=bellman, horizon=3,
hardware=johannesburg-0, diff=0.00682, prob=0.9771, baseline_prob=0.97028, algorithm=4, method=bellman, horizon=3,
hardware=singapore-1, diff=0.00665, prob=0.98129, baseline_prob=0.97464, algorithm=4, method=bellman, horizon=3,
hardware=cambridge-0, diff=0.00662, prob=0.97718, baseline_prob=0.97056, algorithm=4, method=bellman, horizon=3,
hardware=johannesburg-2, diff=0.00661, prob=0.94727, baseline_prob=0.94066, algorithm=4, method=bellman, horizon=3,
hardware=singapore-3, diff=0.00656, prob=0.968, baseline_prob=0.96144, algorithm=4, method=bellman, horizon=3,
