------ Experiment.bitflip_cxh ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  203
total diff. algorithms (bellman):  7
accuracy perfect hardware (bellman): 1.0

num. algorithms per horizon (method=bellman)
7 :  7
--


number of improvements per horizon:
--> horizon 7: 30 


Improvements with respect to perfect algorithms per horizon
Horizon = 7
hardware=cambridge-3, diff=0.03193, prob=0.502, baseline_prob=0.47007, algorithm=2, method=bellman, horizon=7,
hardware=washington-1, diff=0.02889, prob=0.5018, baseline_prob=0.47291, algorithm=6, method=bellman, horizon=7,
hardware=kolkata-0, diff=0.0157, prob=0.91438, baseline_prob=0.89868, algorithm=4, method=bellman, horizon=7,
hardware=cambridge-2, diff=0.01386, prob=0.51596, baseline_prob=0.5021, algorithm=1, method=bellman, horizon=7,
hardware=bogota-4, diff=0.00726, prob=0.90492, baseline_prob=0.89766, algorithm=4, method=bellman, horizon=7,
hardware=kolkata-1, diff=0.00718, prob=0.92233, baseline_prob=0.91515, algorithm=4, method=bellman, horizon=7,
hardware=brooklyn-2, diff=0.00712, prob=0.91756, baseline_prob=0.91044, algorithm=4, method=bellman, horizon=7,
hardware=quito-2, diff=0.00684, prob=0.9115, baseline_prob=0.90466, algorithm=4, method=bellman, horizon=7,
hardware=cairo-2, diff=0.00398, prob=0.93884, baseline_prob=0.93486, algorithm=4, method=bellman, horizon=7,
hardware=algiers-0, diff=0.0029, prob=0.96723, baseline_prob=0.96433, algorithm=4, method=bellman, horizon=7,
hardware=auckland-2, diff=0.00223, prob=0.96576, baseline_prob=0.96353, algorithm=4, method=bellman, horizon=7,
hardware=mumbai-0, diff=0.00123, prob=0.95226, baseline_prob=0.95103, algorithm=4, method=bellman, horizon=7,
hardware=manhattan-0, diff=0.00108, prob=0.50093, baseline_prob=0.49985, algorithm=4, method=bellman, horizon=7,
hardware=manhattan-1, diff=0.00108, prob=0.50093, baseline_prob=0.49985, algorithm=4, method=bellman, horizon=7,
hardware=algiers-2, diff=0.00106, prob=0.94879, baseline_prob=0.94773, algorithm=4, method=bellman, horizon=7,
hardware=washington-3, diff=0.0008, prob=0.97874, baseline_prob=0.97794, algorithm=4, method=bellman, horizon=7,
hardware=athens-2, diff=0.00078, prob=0.96017, baseline_prob=0.95939, algorithm=4, method=bellman, horizon=7,
hardware=jakarta-1, diff=1e-05, prob=0.98005, baseline_prob=0.98004, algorithm=3, method=bellman, horizon=7,
hardware=jakarta-2, diff=1e-05, prob=0.98311, baseline_prob=0.9831, algorithm=3, method=bellman, horizon=7,
hardware=guadalupe-2, diff=1e-05, prob=0.97841, baseline_prob=0.9784, algorithm=3, method=bellman, horizon=7,
hardware=boeblingen-3, diff=1e-05, prob=0.96736, baseline_prob=0.96735, algorithm=3, method=bellman, horizon=7,
hardware=rome-0, diff=1e-05, prob=0.97193, baseline_prob=0.97192, algorithm=3, method=bellman, horizon=7,
hardware=poughkeepsie-1, diff=1e-05, prob=0.8582, baseline_prob=0.85819, algorithm=3, method=bellman, horizon=7,
hardware=manila-0, diff=1e-05, prob=0.97413, baseline_prob=0.97412, algorithm=3, method=bellman, horizon=7,
hardware=manila-2, diff=1e-05, prob=0.97285, baseline_prob=0.97284, algorithm=3, method=bellman, horizon=7,
hardware=manila-3, diff=1e-05, prob=0.97485, baseline_prob=0.97484, algorithm=3, method=bellman, horizon=7,
hardware=manila-4, diff=1e-05, prob=0.97966, baseline_prob=0.97965, algorithm=3, method=bellman, horizon=7,
hardware=manila-5, diff=1e-05, prob=0.98409, baseline_prob=0.98408, algorithm=3, method=bellman, horizon=7,
hardware=mumbai-2, diff=1e-05, prob=0.98933, baseline_prob=0.98932, algorithm=3, method=bellman, horizon=7,
hardware=geneva-2, diff=1e-05, prob=0.97042, baseline_prob=0.97041, algorithm=3, method=bellman, horizon=7,



