------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  283
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  103
3 :  91
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=torino-1, diff=0.21012, prob=0.5, baseline_prob=0.28988, algorithm=76, method=convex, horizon=1,
hardware=cusco-1, diff=0.16797, prob=0.5, baseline_prob=0.33203, algorithm=76, method=convex, horizon=1,
hardware=kyiv-1, diff=0.16613, prob=0.50158, baseline_prob=0.33545, algorithm=130, method=convex, horizon=1,
hardware=makarresh-1, diff=0.16198, prob=0.51273, baseline_prob=0.35075, algorithm=156, method=convex, horizon=1,
hardware=lagos-0, diff=0.16, prob=0.51747, baseline_prob=0.35747, algorithm=139, method=convex, horizon=1,
hardware=osaka-0, diff=0.15468, prob=0.52888, baseline_prob=0.3742, algorithm=191, method=convex, horizon=1,
hardware=kyoto-1, diff=0.15049, prob=0.53682, baseline_prob=0.38633, algorithm=136, method=convex, horizon=1,
hardware=manhattan-0, diff=0.14639, prob=0.54392, baseline_prob=0.39753, algorithm=165, method=convex, horizon=1,
hardware=rochester-1, diff=0.14609, prob=0.54442, baseline_prob=0.39833, algorithm=230, method=convex, horizon=1,
hardware=cambridge-1, diff=0.14288, prob=0.54955, baseline_prob=0.40667, algorithm=65, method=convex, horizon=1,
hardware=kawasaki-1, diff=0.1252, prob=0.5736, baseline_prob=0.4484, algorithm=120, method=convex, horizon=1,
hardware=washington-0, diff=0.12379, prob=0.57526, baseline_prob=0.45147, algorithm=269, method=convex, horizon=1,
hardware=yorktown-1, diff=0.11419, prob=0.58599, baseline_prob=0.4718, algorithm=277, method=convex, horizon=1,
hardware=toronto-0, diff=0.10833, prob=0.592, baseline_prob=0.48367, algorithm=255, method=convex, horizon=1,
hardware=brisbane-0, diff=0.09633, prob=0.60333, baseline_prob=0.507, algorithm=42, method=convex, horizon=1,
hardware=almaden-1, diff=0.09177, prob=0.60733, baseline_prob=0.51556, algorithm=9, method=convex, horizon=1,
hardware=paris-0, diff=0.08614, prob=0.61207, baseline_prob=0.52593, algorithm=205, method=convex, horizon=1,
hardware=boeblingen-1, diff=0.07933, prob=0.61753, baseline_prob=0.5382, algorithm=33, method=convex, horizon=1,
hardware=melbourne-1, diff=0.07704, prob=0.61931, baseline_prob=0.54227, algorithm=162, method=convex, horizon=1,
hardware=poughkeepsie-0, diff=0.07188, prob=0.62321, baseline_prob=0.55133, algorithm=215, method=convex, horizon=1,
hardware=johannesburg-1, diff=0.07177, prob=0.6233, baseline_prob=0.55153, algorithm=114, method=convex, horizon=1,
hardware=london-0, diff=0.0688, prob=0.62547, baseline_prob=0.55667, algorithm=150, method=convex, horizon=1,
hardware=cairo-1, diff=0.06265, prob=0.62985, baseline_prob=0.5672, algorithm=59, method=convex, horizon=1,
hardware=geneva-0, diff=0.05957, prob=0.63197, baseline_prob=0.5724, algorithm=91, method=convex, horizon=1,
hardware=sydney-1, diff=0.05037, prob=0.6381, baseline_prob=0.58773, algorithm=250, method=convex, horizon=1,
hardware=quito-1, diff=0.0474, prob=0.64, baseline_prob=0.5926, algorithm=226, method=convex, horizon=1,
hardware=fez-1, diff=0.0453, prob=0.64133, baseline_prob=0.59603, algorithm=88, method=convex, horizon=1,
hardware=prague-0, diff=0.04405, prob=0.64212, baseline_prob=0.59807, algorithm=221, method=convex, horizon=1,
hardware=mumbai-1, diff=0.04335, prob=0.64255, baseline_prob=0.5992, algorithm=182, method=convex, horizon=1,
hardware=montreal-1, diff=0.0415, prob=0.6437, baseline_prob=0.6022, algorithm=177, method=convex, horizon=1,
hardware=manila-0, diff=0.04137, prob=0.64377, baseline_prob=0.6024, algorithm=171, method=convex, horizon=1,
hardware=singapore-0, diff=0.03789, prob=0.64589, baseline_prob=0.608, algorithm=244, method=convex, horizon=1,
hardware=brooklyn-1, diff=0.03739, prob=0.64619, baseline_prob=0.6088, algorithm=49, method=convex, horizon=1,
hardware=hanoi-1, diff=0.03635, prob=0.64682, baseline_prob=0.61047, algorithm=103, method=convex, horizon=1,
hardware=vigo-0, diff=0.0325, prob=0.6491, baseline_prob=0.6166, algorithm=264, method=convex, horizon=1,
hardware=guadalupe-0, diff=0.02633, prob=0.65266, baseline_prob=0.62633, algorithm=97, method=convex, horizon=1,
hardware=nairobi-0, diff=0.02526, prob=0.65326, baseline_prob=0.628, algorithm=185, method=convex, horizon=1,
hardware=lima-1, diff=0.02505, prob=0.65338, baseline_prob=0.62833, algorithm=147, method=convex, horizon=1,
