hardware,embedding_index,gate_name,probability
algiers,0,SX,0.999665
algiers,0,RZ,1.000000
algiers,1,SX,0.998596
algiers,1,RZ,1.000000
almaden,0,U2,0.999327
almaden,1,U2,0.996286
athens,0,SX,0.999434
athens,0,RZ,1.000000
athens,1,SX,0.999536
athens,1,RZ,1.000000
auckland,0,SX,0.999620
auckland,0,RZ,1.000000
auckland,1,SX,0.999358
auckland,1,RZ,1.000000
belem,0,RZ,1.000000
belem,0,SX,0.999654
belem,1,SX,0.999503
belem,1,RZ,1.000000
boeblingen,0,U2,0.999625
boeblingen,1,U2,0.998777
bogota,0,SX,0.999699
bogota,0,RZ,1.000000
bogota,1,SX,0.998467
bogota,1,RZ,1.000000
brisbane,0,SX,0.788621
brisbane,0,RZ,1.000000
brisbane,1,SX,0.999656
brisbane,1,RZ,1.000000
brooklyn,0,SX,0.999581
brooklyn,0,RZ,1.000000
brooklyn,1,RZ,1.000000
brooklyn,1,SX,0.992362
burlington,0,U2,0.999531
burlington,1,U2,0.999111
cairo,0,RZ,1.000000
cairo,0,SX,0.999599
cairo,1,SX,0.989396
cairo,1,RZ,1.000000
cambridge,0,U2,0.999323
cambridge,1,U2,0.997990
casablanca,0,SX,0.998653
casablanca,0,RZ,1.000000
casablanca,1,SX,0.999305
casablanca,1,RZ,1.000000
cusco,0,SX,0.999709
cusco,0,RZ,1.000000
cusco,1,SX,0.999646
cusco,1,RZ,1.000000
essex,0,U2,0.998816
essex,1,U2,0.998609
fez,0,SX,0.999681
fez,0,RZ,1.000000
fez,1,SX,0.999553
fez,1,RZ,1.000000
geneva,0,SX,0.999443
geneva,0,RZ,1.000000
geneva,1,SX,0.998956
geneva,1,RZ,1.000000
guadalupe,0,RZ,1.000000
guadalupe,0,SX,0.999396
guadalupe,1,SX,0.999625
guadalupe,1,RZ,1.000000
hanoi,0,RZ,1.000000
hanoi,0,SX,0.999722
hanoi,1,SX,0.999709
hanoi,1,RZ,1.000000
jakarta,0,SX,0.999571
jakarta,0,RZ,1.000000
jakarta,1,RZ,1.000000
jakarta,1,SX,0.999587
johannesburg,0,U2,0.998548
johannesburg,1,U2,0.998724
kawasaki,0,SX,0.999524
kawasaki,0,RZ,1.000000
kawasaki,1,SX,0.999640
kawasaki,1,RZ,1.000000
kolkata,0,SX,0.997151
kolkata,0,RZ,1.000000
kolkata,1,SX,0.999796
kolkata,1,RZ,1.000000
kyiv,0,SX,0.999638
kyiv,0,RZ,1.000000
kyiv,1,RZ,1.000000
kyiv,1,SX,0.999861
kyoto,0,SX,0.999802
kyoto,0,RZ,1.000000
kyoto,1,SX,0.998978
kyoto,1,RZ,1.000000
lagos,0,SX,0.999571
lagos,0,RZ,1.000000
lagos,1,SX,0.999558
lagos,1,RZ,1.000000
lima,0,SX,0.999729
lima,0,RZ,1.000000
lima,1,SX,0.998982
lima,1,RZ,1.000000
london,0,U2,0.999423
london,1,U2,0.999362
makarresh,0,RZ,1.000000
makarresh,0,SX,0.999126
makarresh,1,SX,0.981302
makarresh,1,RZ,1.000000
melbourne,0,SX,0.999372
melbourne,0,RZ,1.000000
melbourne,1,SX,0.997511
melbourne,1,RZ,1.000000
manhattan,0,RZ,1.000000
manhattan,0,SX,0.998781
manhattan,1,SX,0.999506
manhattan,1,RZ,1.000000
manila,0,SX,0.998881
manila,0,RZ,1.000000
manila,1,SX,0.999682
manila,1,RZ,1.000000
montreal,0,SX,0.999759
montreal,0,RZ,1.000000
montreal,1,SX,0.999658
montreal,1,RZ,1.000000
mumbai,0,SX,0.999670
mumbai,0,RZ,1.000000
mumbai,1,SX,0.999734
mumbai,1,RZ,1.000000
nairobi,0,RZ,1.000000
nairobi,0,SX,0.999405
nairobi,1,SX,0.999203
nairobi,1,RZ,1.000000
osaka,0,RZ,1.000000
osaka,0,SX,0.930751
osaka,1,SX,0.999795
osaka,1,RZ,1.000000
oslo,0,SX,0.999610
oslo,0,RZ,1.000000
oslo,1,SX,0.999622
oslo,1,RZ,1.000000
ourense,0,RZ,1.000000
ourense,0,SX,0.999548
ourense,1,SX,0.999411
ourense,1,RZ,1.000000
paris,0,RZ,1.000000
paris,0,SX,0.999389
paris,1,SX,0.999513
paris,1,RZ,1.000000
perth,0,RZ,1.000000
perth,0,SX,0.999203
perth,1,SX,0.999404
perth,1,RZ,1.000000
poughkeepsie,0,U2,0.989017
poughkeepsie,1,U2,0.998920
prague,0,SX,0.998816
prague,0,RZ,1.000000
prague,1,RZ,1.000000
prague,1,SX,0.999890
quito,0,SX,0.996524
quito,0,RZ,1.000000
quito,1,SX,0.997602
quito,1,RZ,1.000000
rochester,0,U2,0.998784
rochester,1,U2,0.995198
rome,0,SX,0.999655
rome,0,RZ,1.000000
rome,1,SX,0.999532
rome,1,RZ,1.000000
santiago,0,SX,0.999613
santiago,0,RZ,1.000000
santiago,1,SX,0.999733
santiago,1,RZ,1.000000
singapore,0,U2,0.999338
singapore,1,U2,0.999502
sydney,0,SX,0.999709
sydney,0,RZ,1.000000
sydney,1,SX,0.999444
sydney,1,RZ,1.000000
torino,0,SX,0.999308
torino,0,RZ,1.000000
torino,1,SX,0.973927
torino,1,RZ,1.000000
toronto,0,SX,0.998319
toronto,0,RZ,1.000000
toronto,1,SX,0.999604
toronto,1,RZ,1.000000
valencia,0,SX,0.999525
valencia,0,RZ,1.000000
valencia,1,SX,0.999106
valencia,1,RZ,1.000000
vigo,0,SX,0.999380
vigo,0,RZ,1.000000
vigo,1,SX,0.999400
